110100	北京	110000	010	B
120200	天津	120000	022	T
130100	石家庄	130000	0311	S
130200	唐山	130000	0315	T
130300	秦皇岛	130000	0335	Q
130400	邯郸	130000	0310	H
130500	邢台	130000	0319	X
130600	保定	130000	0312	B
130700	张家口	130000	0313	Z
130800	承德	130000	0314	C
130900	沧州	130000	0317	C
131000	廊坊	130000	0316	L
131100	衡水	130000	0318	H
140100	太原	140000	0351	T
140200	大同	140000	0352	D
140300	阳泉	140000	0353	Y
140400	长治	140000	0355	C
140500	晋城	140000	0356	J
140600	朔州	140000	0349	S
140700	晋中	140000	0354	J
140800	运城	140000	0359	Y
140900	忻州	140000	0350	X
141000	临汾	140000	0357	L
141100	吕梁	140000	0358	L
150100	呼和浩特	150000	0471	H
150200	包头	150000	0472	B
150300	乌海	150000	0473	W
150400	赤峰	150000	0476	C
150500	通辽	150000	0475	T
150600	鄂尔多斯	150000	0477	E
150700	呼伦贝尔	150000	0470	H
150800	巴彦淖尔	150000	0478	B
150900	乌兰察布	150000	0474	W
152200	兴安盟	150000	0482	X
152500	锡林郭勒	150000	0479	X
152900	阿拉善	150000	0483	A
210100	沈阳	210000	024	S
210200	大连	210000	0411	D
210300	鞍山	210000	0412	A
210400	抚顺	210000	0413	F
210500	本溪	210000	0414	B
210600	丹东	210000	0415	D
210700	锦州	210000	0416	J
210800	营口	210000	0417	Y
210900	阜新	210000	0418	F
211000	辽阳	210000	0419	L
211100	盘锦	210000	0427	P
211200	铁岭	210000	0410	T
211300	朝阳	210000	0421	C
211400	葫芦岛	210000	0429	H
220100	长春	220000	0431	C
220200	吉林	220000	0432	J
220300	四平	220000	0434	S
220400	辽源	220000	0437	L
220500	通化	220000	0435	T
220600	白山	220000	0439	B
220700	松原	220000	0438	S
220800	白城	220000	0436	B
222400	延边	220000	0433	Y
230100	哈尔滨	230000	0451	H
230200	齐齐哈尔	230000	0452	Q
230300	鸡西	230000	0467	J
230400	鹤岗	230000	0454	H
230500	双鸭山	230000	0454	S
230600	大庆	230000	0459	D
230700	伊春	230000	0458	Y
230800	佳木斯	230000	0454	J
